ID,EventType,Content
18_0,0,* zo meteen svn vs usa ik dacht 1 1 maar er zijn dit wk al meer verassingen geweest da k het dus niet meer zo goed weet worldcup * *              can t believe ger lost don t care much for usa or slovenia but i ll watch for the football worldcup               *
18_1,0,*    i think i ve seen 1 person use the correct svn hashtag for slovenia usa should win just because the hashtag is easier worldcup   * * serã que tava todo mundo enganado e que este time da alemanha nã o sã rvio pra jogar uma copa trocadilhoinfame worldcup rsa ger srb *
18_10,0,*        usa vs svn 0 0 1 lets don t underestimate slovenia team that eliminated russia worldcup wc2010        * * worldcup usa arg aus bra chi civ cmr den eng esp fra ger gre hon ita jpn kor mex ned nga par por prk rsa srb *
18_100,0,* rsa sudafrica 2010 svn eslovenia 2 1 usa estados unidos 28 2t birsa ljubijankic svn donovan usa en estadio ellis park worldcup * *     working on a new site built on wp 3 0 at the same time i m watching worldcup match between slovenia and usa go usa go      *
18_101,0,* y ahora falta de altidor en el ã rea de svn habã a peligro en la misma pero la falta del jugador de usa rompiã³ todo worldcup * *   come on usa slovenia is racking up yellow cards watching live from s africa w out espn luv 4screens at work fifa worldcup   *
18_102,1,*               yes mr referee whip out that yellow card in your fabulous manner fwip fab usa svn worldcup               * * it s time to see what team usa is made of down 1 goal with 15 to play in a crucial match slv 2 0 usa 2nd half worldcup *
18_103,1,*                           game is turning out to be a yellow card fest for svn worldcup usa                            * * it s time to see what team usa is made of down 1 goal with 15 to play in a crucial match slv 2 1 usa 2nd half worldcup *
18_104,0,*     hope slovenia win this game usa are playing dirty fingers crossed for eng tonight i predict 3 1 to us worldcup    * * slovenians will get jaundice from all these yellow cards playing a bit too rough which is fine by me svn usa worldcup *
18_105,0,*                   worldcup groupc soccer unitedstates usa trails slovenia svn 2 1 in 78th minute                   * * now that the lakers won time watch the worldcup wit my bro i love wen his sexy friends come over to watch the game *
18_106,0,* va a entrar hercules gomez en el equipo de usa minuto 34 se les acaba el tiempo para empatar worldcup usa 1 svn 2 * * nossa hoje foi o dia da zebra na worldcup da rsa ger perde eng empata com a alg ainda bem que o bra não jogo hoje *
18_107,1,*                    sale oguchi onyewu y entra herculez gomez minuto 35 segundo tiempo worldcup usa 1 svn 2                    * * my dude hercules gomez coming in bradley realizes we need to get a goal so he takes gooch out risky but good imo usa worldcup *
