Timestamp,Content
1,*                last set of group games to go down tonight belgium vs south korea algeria vs russia worldcup2014                * * both referees this morning were meh hopefully ben wiliams aus kor v bel and cuneyt cakir tur alg v rus will do better worldcup *
2,* watch belgium south korea 4 p m et on espn watchespn app in match highlights sportscenter espnfc app espn soccer * *                            fancy wins for belgium russia tonight kor v bel alg v rus                             *
3,*      can see them through provided south korea don t beat belgium algeria have played well so far i think they ll beat russia     * * so bel v kor or alg v rus i want to check bel out but reckon algrus will be a better contested game bigdecisions 9mins to make it *
4,*                                    finallyyyy adnan januzaj starts for belgium good luck bel                                    * * russia needs a win to advance if they score a goal korea has to beat belgium by 3 a 2 goal russia win would be perfect for them *
5,*  more football for you all imminently the final group games of the 2014 worldcup kor vs bel alg vs rus who ll qualify with belgium   * * the final two group stage matches are here us viewers belgium vs south korea on espn univisión algeria vs russia on espn2 galavision *
6,*                  after tonight group h 1 belgium 7p 2 algeria 6p 3 south korea 2p 4 russia 1p grouph bel alg kor rus                  * * this time 2 years ago adnan januzaj was yet to play for mufc u21 team today he starts for belgium in the world cup well done lad mufc *
7,* next worldcup games this evening kor v bel belgium to win under 2 5 btts no alg v rus algeria to win over 2 5 btts yes * *  south korea vs belgium russia vs algeria last group stage games of the 2014 world cup who to advance any predictions  *
8,* belgium vs south korea i m hoping for the belgians to click as a team and play sick in preparation for the game against the us worldcup2014 * *     this bel team will be eager to impress so i think they ll beat kor 2 1 alg will want to defend so i think they and rus will draw 0 0    *
9,* well it s time for the stressful game between belgium and south korea sk obviously won t win but come on guys don t lose too horribly * *        thursday matches moments from now south korea vs belgium espn kmex la 34 algeria vs russia espn2 kftr la 46 worldcup2014       *
10,*                  it s time to watch korea republic kor vs belgium bel algeria alg vs russia rus wcbrazil14                   * * another world cup match not supporting either south korea or belgium just watching kor bel itvworldcup worldcup worldcup2014 *
11,* kickoff is underway for the final matches of group play between belgium south korea and algeria russia * *  and the last group games of the 2014 brazil world cup are underway as bel face kor and alg play rus   *
12,* kick off kor v bel prediction south korea 1 3 belgium alg v rus prediction algeria 2 1 russia worldcup2014 * *   no fun in watching the belgium game fielding a weaker side when already in not so good form kor vs bel   *
13,*                the last two group games are underway belgium vs south korea and russia vs algeria worldcup                 * * the final group games of the worldcup have kicked off kor v bel alg v rus belgium are through and all 3 teams can progress *
14,*     if korea beats belgium and algeria wins by at least 2 goals usa would play algeria that would be hilaarriiousss     * * alg vs rus kor vs bel underway last group last games of group play let s see who finalizes the round of 16 worldcup2014 *
15,*           was going to watch algeria russia but my aerial doesn t like itv4 belgium beating south korea it is worldcup2014           * * belgium have played the avb style of football in their first 2 group games let s hope they re more exciting to watch tonight bel kor *
16,*                       score predictions south korea 0 2 belgium algeria 2 1 russia kor bel alg rus worldcup2014                       * * group games finish tonight belgium to beat south korea and finish top algeria at worst will draw with russia qualify totally deserved *
17,*                                       worldcup 6 algeria 0 1 russia 6 south korea 0 0 belgium                                        * * hope korea wins this game don t really care much for belgium they re already crying about getting hit on the head play some football *
18,*          goal live world cup group h 7mins gone game yetu south korea 0 0 belgium algeria 0 1 russia kokorin 6          * * alg vs rus kor vs bel underway last group last games of group play let s see who finalizes the round of 16 worldcup2014 *
19,* 05 live south korea 0 0 belgium algeria 0 1 russia goal kokorin powers home a thumping header to put russia in front early on * *  i m following korea republic versus belgium in the fifa global stadium korbel worldcup joinin worldcup2014 south kor vs bel  *
20,* decent goal from russia nice header watching south korea vs belgium though so didn t get to see build up play any good worldcup2014 * *                          grouph as things stand bel 7 pts 2 gd rus 4 pts 0 gd alg 3 pts 0 gd kor 1 pt 2 gd                          *
21,* algeria advances with a win no matter what south korea needs to beat belgium and russia to draw or beat algeria by fewer goals * *         if the russia score stays as is we end up playing belgium in the round of 16 fuck their waffles usmnt worldcup         *
22,*           russia 1 0 algeria and belgium 0 0 south korea as it stands belgium and russia will progress from group h wc2014          * * only teams usmnt can play next round are belgium algeria prefer algeria but neither team the level of germany portugal worldcup2014 *
23,* with the russia s goal making it 1 0 against algeria as it stands belgium wins group h and plays usa and russia advances to play germany * * i m following korea republic versus belgium in the fifa global stadium korbel worldcup joinin who is sitting on yellow cards for belgium *
24,* if south korea fails to win their final group play match against belgium they re gonna be packing their bags * *    rus 1 alg 0 kor 0 bel 0 12 mins gone as it stands belgium v usa and russia v ger will advance worldcup    *
25,* 05 live south korea 0 0 belgium algeria 0 1 russia goal kokorin powers home a thumping header to put russia in front early on * *              2014fifaworldcup group h standings with alg 0 1 rus 1 bel 7pt 2 2 rus 4pt 1 3 alg 3pt 1 4 kor 2pt 2              *
26,*                  openhappiness worldscup south korea vs belgium algeria vs russia want belgium and algeria to win                  * * korvsbel kor has a 10k national record of 28 23 62 from 2010 bel have a 10k record of 26 52 30 by mohammed mourhit from 99 win bel *
